Date,CI_CN,CI_KR,CI_TW,CI_US,CI_IE,CI_Italy
2019/1/1,548.878466,405.6298837,494.2027281,343.0047671,287.1176471,289.6524939
2019/2/1,548.878466,422.5719139,486.8616145,327.9885965,211.9958848,263.9919736
2019/3/1,518.0048732,377.5005336,497.3229264,316.2394824,236.1155378,253.369467
2019/4/1,506.7814982,357.0013771,505.3879908,285.6562792,263.436214,250.3044719
2019/5/1,486.5072409,352.8121446,514.8905109,299.1279244,298.649789,217.7101719
2019/6/1,495.1431702,387.2307869,509.8976608,315.6849507,288.961039,218.4801855
2019/7/1,496.4796964,435.9868288,510.195178,343.9816316,291.7281106,241.8262806
2019/8/1,506.2098988,433.8455492,512.7384615,341.5232222,245.4241071,241.9800932
2019/9/1,502.3978429,447.2425211,501.1323593,336.7750193,254.6444444,265.542195
2019/10/1,496.6006539,441.5596963,495.2679343,312.2278775,236.1284047,278.2385576
2019/11/1,524.8239241,437.7149877,479.1493874,323.2904007,260.701107,247.2735675
2019/12/1,555.4302679,426.278603,471.9421102,310.9901529,219.8717949,239.2235294
2020/1/1,545.1918096,416.3695697,475.33317,295.6123815,213.3333333,265.0280052
2020/2/1,545.1918096,391.4140863,477.8028798,284.8704204,168.6607143,244.4463168
2020/3/1,500.342687,349.5726496,494.6929423,277.6392755,210.3358209,232.7783641
2020/4/1,508.3271531,362.006705,498.0882353,258.5620384,287.0334928,207.4876982
2020/5/1,505.9837308,350.0339888,509.3395428,259.8990112,256.2931034,187.8813144
2020/6/1,488.7997786,377.423721,502.8722978,292.6793854,274.4396552,201.8317715
2020/7/1,480.6906234,402.4902934,511.5013055,331.3162033,268.7755102,230.9229209
2020/8/1,500.435831,414.8556456,513.6869465,336.4481411,288.0658436,233.7928118
2020/9/1,474.9990075,430.5600907,515.2418699,314.2743013,272.6434426,248.4570815
2020/10/1,466.1464248,360.4975358,475.7731959,302.0535573,224.0804598,232.6671477
2020/11/1,522.4405103,360.7189396,474.1426643,292.241919,234.4029851,266.9781854
2020/12/1,553.7565316,363.1087169,487.8061911,314.0941778,217.9623288,260.7650023
2021/1/1,530.2318333,386.1199848,475.818264,312.4245815,276.6197183,246.7545015
2021/2/1,530.2318333,367.759901,479.6214929,334.3479385,179.3023256,239.2776058
2021/3/1,525.6844207,345.359743,474.3383659,278.9381133,249.5542636,227.685446
2021/4/1,504.2904612,348.0752264,498.2032301,276.4435125,310.5652174,230.2681619
2021/5/1,482.2875716,359.0460977,512.3004242,285.3575512,300.9111111,181.4573991
2021/6/1,490.1001987,392.9083315,505.0412898,325.0862411,322.0319635,212.8345227
2021/7/1,485.3597173,416.7199702,515.2905702,345.9510551,373.0676329,227.3480551
2021/8/1,492.5913352,413.5763076,515.9183289,343.0002873,329.5905172,215.5779692
2021/9/1,471.2891585,387.3201158,517.6375095,320.020589,354.248927,264.0156394
2021/10/1,468.0243599,364.1111601,484.909019,303.0480745,278.6627907,253.4083373
2021/11/1,497.7828679,376.4719828,494.4665781,283.8240563,297.8623188,285.9751393
2021/12/1,527.493442,367.2332765,481.7912428,275.3373857,266.1589404,272.5391914
2022/1/1,528.079477,369.2961255,474.0751575,314.0945748,291.8791946,273.6901291
2022/2/1,528.079477,362.7901646,473.770284,296.4537571,194.2727273,279.2345972
2022/3/1,487.6189149,348.0372112,497.03125,269.8628625,293.2116788,282.2351924
2022/4/1,455.9476434,338.5492228,491.8805115,266.551,277.4698795,238.8422903
2022/5/1,438.3098539,326.2698932,486.2401819,275.8723429,273.16,224.8554572
2022/6/1,448.6508098,352.2707054,490.8927868,297.6558769,286.6041667,251.45917
2022/7/1,484.057333,378.251652,498.486535,320.5635835,340.1612903,270.5766944
2022/8/1,510.0291537,364.77426,504.8987109,325.8967768,343.4179688,261.1437472
2022/9/1,494.756924,354.0377482,476.5281174,305.8076707,326.9512195,275.1322626
2022/10/1,469.3858114,342.1788079,462.9178886,288.5684016,210.505618,283.3957219
2022/11/1,499.2092675,354.9956427,482.4745011,279.5380044,202.9753521,278.857868
2022/12/1,513.2640837,378.4910114,467.0323741,303.1046099,272.9054054,304.1619718
